States/UTs,Pedestrians-2009,Pedestrians-2010,Pedestrians-2011,Pedestrians-2012,Pedestrians - 2013,Pedestrians - 2014,Pedestrians - 2015,Bicycles-2009,Bicycles-2010,Bicycles-2011,Bicycles-2012,Bicycles - 2013,Bicycles - 2014,Bicycles - 2015,Two-Wheelers-2009,Two-Wheelers-2010,Two-Wheelers-2011,Two-Wheelers-2012,Two-Wheelers - 2013,Two-Wheelers - 2014,Two-Wheelers - 2015,Auto-Rickshaws-2009,Auto-Rickshaws-2010,Auto-Rickshaws-2011,Auto-Rickshaws-2012,Auto-Rickshaws - 2013,Auto-Rickshaws - 2014,Auto-Rickshaws - 2015,"Car, Taxis, Vans and Other Light and Medium Motor Vehicles-2009","Car, Taxis, Vans and Other Light and Medium Motor Vehicles-2010","Car, Taxis, Vans and Other Light and Medium Motor Vehicles-2011","Car, Taxis, Vans and Other Light and Medium Motor Vehicles-2012","Car, Taxis, Vans and Other Light and Medium Motor Vehicles - 2013","Car, Taxis, Vans and Other Light and Medium Motor Vehicles - 2014","Car, Taxis, Vans and Other Light and Medium Motor Vehicles - 2015",Trucks-2009,Trucks-2010,Trucks-2011,Trucks-2012,Trucks - 2013,Trucks - 2014,Trucks - 2015,Buses-2009,Buses-2010,Buses-2011,Buses-2012,Buses - 2013,Buses - 2014,Buses - 2015,Other Motor Vehicles-2009,Other Motor Vehicles-2010,Other Motor Vehicles-2011,Other Motor Vehicles-2012,Other Motor Vehicles - 2013,Other Motor Vehicles - 2014,Other Motor Vehicles - 2015,Others*-2009,Others*-2010,Others*-2011,Others*-2012,Others - 2013,Others - 2014,Others - 2015,Total-2009,Total-2010,Total-2011,Total-2012,Total - 2013,Total - 2014,Total - 2015
Andhra Pradesh,1552,1397,1221,1535,1707,72,691,336,728,366,609,300,230,166,1260,3301,3330,3176,3336,1719,2532,1327,2015,1965,2139,1747,464,942,1234,1718,1684,2363,1693,435,1199,1613,2458,2319,1663,2058,602,883,3731,998,941,1028,1101,185,441,1416,1928,1847,1564,1594,4134,1212,2301,1141,1492,887,635,67,231,14770,15684,15165,14964,14171,7908,8297
Arunachal Pradesh,2,5,4,4,0,0,0,0,0,0,0,0,0,0,21,20,15,32,28,23,28,5,4,7,14,16,18,0,53,28,52,57,46,25,23,35,37,15,10,17,20,20,28,5,12,11,16,11,19,14,49,21,10,20,22,18,0,0,0,0,0,0,19,158,148,126,138,143,119,127
Assam,54,61,65,95,40,53,36,43,49,38,42,22,28,18,279,349,422,457,531,537,540,65,86,62,53,69,75,51,471,491,490,454,552,533,583,442,459,492,516,420,436,440,348,452,345,239,227,247,189,277,287,408,415,564,601,531,12,22,20,20,16,12,9,1991,2256,2342,2291,2441,2522,2397
Bihar,81,156,72,83,98,144,184,75,323,114,89,105,151,124,589,462,858,733,808,820,1052,142,435,272,146,205,144,190,1313,891,1370,1716,1536,788,767,1091,675,953,981,1090,919,967,769,808,567,601,561,543,702,259,1255,514,501,419,1011,1173,71,132,370,206,239,393,262,4390,5137,5090,5056,5061,4913,5421
Chhattisgarh,145,61,111,26,42,80,42,64,364,72,36,35,43,19,595,757,402,610,891,1126,1243,26,225,63,37,32,37,42,353,262,452,380,441,648,566,486,261,419,586,696,744,750,262,341,346,190,207,189,187,585,590,582,1286,1108,1144,1216,349,95,536,16,25,11,17,2865,2956,2983,3167,3477,4022,4082
Goa,75,90,89,66,60,68,64,4,6,14,4,8,6,3,178,184,178,182,161,189,200,1,0,3,1,0,1,0,34,30,34,29,24,17,29,12,7,5,0,3,3,3,14,7,8,9,2,0,5,0,3,0,0,0,1,0,3,0,2,1,8,5,7,321,327,333,292,266,290,311
Gujarat,843,839,897,791,820,714,719,212,170,179,164,141,123,123,1416,1585,1760,1785,1678,1689,2150,612,694,698,591,581,596,627,1355,1465,1572,1605,1768,2072,1963,1242,1327,1437,1351,1329,1378,1213,411,414,503,389,354,438,317,800,911,860,989,821,800,884,92,101,102,152,121,145,123,6983,7506,8008,7817,7613,7955,8119
Haryana,572,260,173,161,165,204,228,319,411,384,368,374,314,345,874,1223,1126,1046,1061,987,1076,169,246,205,195,200,198,229,694,708,657,616,621,459,484,480,670,624,606,612,347,383,322,244,233,222,228,271,304,377,406,365,322,750,575,604,796,551,995,910,506,1128,1226,4603,4719,4762,4446,4517,4483,4879
Himachal Pradesh,50,47,4,3,5,0,0,5,2,0,3,1,0,0,159,75,190,144,198,198,258,1,2,4,1,3,7,4,433,456,338,486,478,450,448,156,289,160,176,125,116,145,185,98,282,127,145,346,145,137,133,94,169,95,82,96,14,0,0,0,4,0,0,1140,1102,1072,1109,1054,1199,1096
Jammu and Kashmir,100,106,19,37,23,25,28,12,44,5,11,9,5,4,133,117,165,239,199,236,212,37,11,22,89,65,62,67,247,164,216,367,324,258,232,131,139,160,154,116,108,89,260,145,199,75,60,177,173,168,274,330,193,194,121,112,12,45,0,0,0,0,0,1100,1045,1116,1165,990,992,917
